"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"671","Classical","Johann Sebastian Bach","St. Matthew Passion, BWV 244, Pt. 2: No. 42, Gebt mir meinen Jesum wieder","3t40lHCEuQUGSbWs4MJ1In",0,0.866,0.561,160693,0.208,0.00461,"F#",0.152,-24.379,"Major",0.0382,98.973,"4/4",0.579
"672","Classical","Thomas Tallis","If Ye Love Me","605Agngxzi7m3NADWswCPc",33,0.99,0.161,148867,0.0638,0.0451,"F",0.108,-34.112,"Major",0.0478,78.648,"4/4",0.059
"673","Classical","Johann Sebastian Bach","Cello Suite No. 5 in C Minor, BWV 1011: IV. Sarabande","3TILjRV9ZYEEfJcF6Re3H4",36,0.937,0.0874,198320,0.0169,0.773,"C",0.108,-32.245,"Minor",0.0478,85.068,"1/4",0.05
"674","Classical","Dream Evil","Chasing the Dragon","4nrVRhp2fGwY7MwINf9QLY",45,1.11e-05,0.462,241360,0.921,0.00856,"C",0.281,-4.633,"Minor",0.0508,137.102,"4/4",0.388
"675","Classical","Ryuichi Sakamoto","Goodbye to Hawk","5wBv5WFjnfsZoNV27lCdzo",29,0.982,0.089,221037,0.00772,0.953,"E",0.101,-34.393,"Minor",0.0451,60.922,"4/4",0.0362
"676","Classical","Hammerfall","Hearts On Fire","1uPJUOUzZydICIfknCS2nK",56,0.000384,0.578,231387,0.899,3.14e-06,"C#",0.687,-5.985,"Major",0.0469,91,"4/4",0.374
"677","Classical","Pyotr Ilyich Tchaikovsky","Swan Lake, Op.20, Act I: Introduction (Moderato assai) & 1. Scene (Allegro giusto)","5tNUaNoIMdJcdHGj25a7gD",34,0.944,0.314,344893,0.299,0.902,"D",0.0991,-16.192,"Major",0.0456,74.602,"4/4",0.0648
"678","Classical","Johann Pachelbel","Pachelbel: Canon in D Major","4nXMiwWi9tmREdyz4iqSZc",35,0.994,0.401,239547,0.197,0.926,"D",0.105,-17.472,"Major",0.0601,72.734,"4/4",0.239
"679","Classical","Arcangelo Corelli","Concerto grosso In G Minor, Op.6, No.8, MC 6.8 ""Fatto per la Notte di Natale"": 3. Adagio - Allegro - Adagio","5kwFK6paxAX3dADjvBYVpF",32,0.921,0.206,180333,0.0729,0.625,"D#",0.104,-26.014,"Major",0.0441,86.083,"3/4",0.133
"680","Classical","George Frideric Handel","Handel / Arr Pluhar: Sinfonia (From Alcina HWV 34)","3rjSA87foWFMhgSmT4MX3l",46,0.831,0.414,301040,0.289,0.0404,"F",0.0365,-16.422,"Major",0.0444,119.941,"4/4",0.452
